SKU,Name,StockingUnit,StockOnHand,Avg Unit Cost,Avg Unit Cost Incl.,Total SKU Value,Totak SKU Value Incl
INVKEEC,AJAB NGANO 1KG (24PCS),BALE,149,1600.19,1600.19,238428.31,238428.31
INVXFZX,AJAB NGANO 2KG (12PCS),BALE,300,1589.99,1589.99,476997,476997
INVZGMU,AJAB UGALI 2KG (12PCS),BALE,322,1270,1270,408940,408940
INVDNEJ,ALWAYS ULTRA THIN (16X8),CARTON,4,2130,2130,8520,8520
INVYJL6,ARIEL POWDER 3.5KG,PC,29,688,800,19952,23200
INVNKFV,ARIEL POWDER 30G (12PCS),DOZEN,3,76.54,89,229.62,267
INVSRIS,BARAKA CHAI 250GM( 4 PCS),OUTER,3,339.7,395,1019.1,1185
INVGAPE,BARAKA CHAI 25GM(10pcs),OUTER,13,77.4,90,1006.2,1170
INVURA7,BARAKA CHAI 500GM,Packet,4,171.14,199,684.56,796
INVSPPN,DAAWAT BASMATI 1KG,BALE,1,2580,3000,2580,3000
INVMCXP,DAAWAT SPAGETTI BLUE 400G*20PC,CARTON,1,1204,1400,1204,1400
INVWWD5,EDEN TEA 500G(4PCS),OUTER,7,593.4,690,4153.8,4830
INVVFQL,ELIANTO 500ML*12,CARTON,1,1737.2,2020,1737.2,2020
INVGELT,FINESSE BIRYANI RICE 25KG,Bag,1,2120,2120,2120,2120
INVJLUL,FLAMIGO SOAP 90GMS,PACKET,7,54.18,63,379.26,441
INVOWTK,HANAN POKET TISSUE,PC,7,94.6,110,662.2,770
INVZR4D,HARPIC POWER PLUS 1LT,PC,1,415.38,483,415.38,483
INVLP5P-SE,INTERNAL-ROYCO MCHUZI MIX CHICKEN 10G (12PCS)-SHORT-EXP,DOZEN,5,44.72,52,223.6,260
INVU052-SE,INTERNAL-SOKO UGALI 1 KG (24 PCS)-SHORT-EXP,BALE,107,1162.79,1162.79,124418.53,124418.53
INVD4RA,JUICY FRUIT BUBBLE GUM,PACKET,10,193.5,225,1935,2250
INVDEJS,KABRAS SUGAR 1KGS (20PCS),BALE,284,1767.25,2050,501899,582200
INVCTJF,KABRAS SUGAR 2KGS (10PCS),BALE,413,1734.17,2011.63,716212.21,830803.19
INVQHQD,KENSALT 200G (30PCS),BALE,8,163.4,190,1307.2,1520
INVLYVT,KETEPA 15G (OUTER)(50pcs),OUTER,43,220.16,256,9466.88,11008
INVLVUJ,KETEPA 250G(4pcs),OUTER,34,363.78,423,12368.52,14382
INVCG7U,KIBUYU WHITE 600G (12PCS),CARTON,2,808.4,940,1616.8,1880
INVZYQV,KISSKIDS LARGE LC 9 PCS,OUTER,20,109.22,127,2184.4,2540
INVDCUP,KISSKIDS MID LC 10,OUTER,32,109.22,127,3495.04,4064
INVASQT,KISSKIDS MINI HC 48PCS,OUTER,33,436.88,508,14417.04,16764
INVPGCK,KISSKIDS MINI LC 11PCS,OUTER,14,109.22,127,1529.08,1778
INVGZVH,KIWI DARKTAN 25ML(12pcs),Dozen,3,584.8,680,1754.4,2040
INVNEIN,KIWI DARKTAN 40ML(12pcs),Dozen,4,903,1050,3612,4200
INVQK9V,KIWI DARKTAN SMALL 15ML,Dozen,18,352.6,410,6346.8,7380
INVWXXF,MELVINS TEA 250G,PC,8,103.2,120,825.6,960
INV1IZD,MELVINS TEA 25G (12PCS),Dozen,9,124.7,145,1122.3,1305
INVWLEY,MELVINS TEA 5G(50pcs),OUTER,14,120.4,140,1685.6,1960
INVDGBY,MELVINS TEA MASALA 100G (10PCS),OUTER,1,430,500,430,500
INVNZUD,MELVINS TEA MASALA 50G (20PCS),OUTER,3,507.4,590,1522.2,1770
